Date,AAPL,MSFT,GOOGL,AMZN,DIS,TSLA,BRK-A
2019-04-03 00:00:00-04:00,46.51038972359839,114.09382335976494,60.6349983215332,91.33599853515625,110.97761100676857,19.154666900634766,308000.0
2019-04-04 00:00:00-04:00,46.88102772216354,114.32226479089583,60.56449890136719,91.03250122070312,111.50935959633824,17.459333419799805,305250.0
2019-04-05 00:00:00-04:00,47.28054246117584,113.64642170641413,60.96500015258789,91.44999694824219,113.21292184838296,17.99066734313965,305495.0
2019-04-08 00:00:00-04:00,47.27332323726059,114.04621647420298,60.55550003051758,91.6614990234375,113.24246880997174,18.512666702270508,307674.0
2019-04-09 00:00:00-04:00,48.21195767793272,112.92297846595596,60.09450149536133,92.27449798583984,113.84314687360808,18.110000610351562,306820.0
2019-04-10 00:00:00-04:00,47.81724729701481,113.99863732720881,60.25450134277344,92.05000305175781,115.78304044573157,18.44933319091797,307700.0
2019-04-11 00:00:00-04:00,48.33951296585932,114.74109523592688,60.44499969482422,92.43499755859375,115.9307512192425,17.886667251586914,308074.0
2019-04-12 00:00:00-04:00,47.94239916534374,114.83627864615309,60.78099822998047,92.41999816894531,125.95516051145349,18.014667510986328,311000.0
2019-04-15 00:00:00-04:00,47.793189812198506,115.1218613914895,61.204498291015625,92.0999984741211,129.04717342063108,17.908666610717773,315000.0
2019-04-16 00:00:00-04:00,48.004992018329034,115.78817851553076,61.5,92.56749725341797,129.7364663696978,17.71666717529297,315000.0
2019-04-17 00:00:00-04:00,48.02423105441567,115.40743209087823,61.849998474121094,93.64949798583984,127.8261270937448,18.316667556762695,318000.0
2019-04-18 00:00:00-04:00,48.8858413646967,116.31172617129552,62.25,93.43949890136719,129.7561808118988,18.082000732421875,316620.0
2019-04-22 00:00:00-04:00,48.8160581426805,116.72103387357586,61.833499908447266,92.7699966430664,129.8841804696045,17.933332443237305,313800.0
2019-04-23 00:00:00-04:00,49.20112592763897,118.12982561134457,62.832000732421875,94.55999755859375,131.35140920650124,17.343332290649414,313865.0
2019-04-24 00:00:00-04:00,49.90629612232063,119.73856880223582,63.52949905395508,96.25,131.07570103249384,17.59000015258789,317025.0
2019-04-25 00:00:00-04:00,49.77875872271458,123.803107478839,63.51499938964844,95.8499984741211,133.29129014765275,17.0,314900.0
2019-04-26 00:00:00-04:00,49.31424438239162,123.46041928034103,63.66899871826172,96.44999694824219,136.58026013484013,16.433332443237305,318505.0
2019-04-29 00:00:00-04:00,49.19391012432461,123.650789941167,64.02549743652344,97.44999694824219,140.01692865638594,15.723999977111816,322000.0
2019-04-30 00:00:00-04:00,48.87141614236544,123.56514321345603,59.53150177001953,96.50499725341797,136.9938293443609,16.137332916259766,325000.0
2019-05-01 00:00:00-04:00,50.512811739394635,124.25051312473174,59.875,96.65450286865234,135.3887518524086,15.923333168029785,325700.0
2019-05-02 00:00:00-04:00,50.50318621319605,121.82318202159337,58.630001068115234,95.66649627685547,133.3110051688988,16.368000030517578,325000.0
2019-05-03 00:00:00-04:00,50.755894946280776,121.23299826198433,58.87049865722656,97.44999694824219,133.15343611751382,16.257333755493164,326000.0
2019-05-06 00:00:00-04:00,49.167437497378444,120.30965270513408,58.599998474121094,95.89900207519531,130.51438760803322,16.667999267578125,322100.0
2019-05-07 00:00:00-04:00,49.55010749927779,120.37627965756832,59.29050064086914,96.99949645996094,133.28144778281634,17.1200008392334,316400.0
2019-05-08 00:00:00-04:00,48.59222627219422,119.40538320434473,58.864498138427734,95.94349670410156,131.45972240512145,16.46266746520996,314900.0
2019-05-09 00:00:00-04:00,48.23121367859415,118.3106974303408,58.130001068115234,95.0,132.9663347215911,16.133333206176758,313500.0
2019-05-10 00:00:00-04:00,47.69697418993466,118.9008812396021,58.44200134277344,94.9000015258789,130.97719780852134,15.983332633972168,310850.0
2019-05-13 00:00:00-04:00,45.351027659792535,118.1393412881048,57.262001037597656,91.8280029296875,129.49029148772385,15.46733283996582,309750.0
2019-05-14 00:00:00-04:00,45.036951407222766,117.91092510199424,57.11600112915039,91.9749984741211,131.47942330551038,15.286666870117188,310100.0
2019-05-15 00:00:00-04:00,45.00312582078852,118.71997783663986,56.127498626708984,91.39749908447266,130.52425168419265,15.288000106811523,306000.0
2019-05-16 00:00:00-04:00,45.88255793364074,121.09896306977551,58.59199905395508,94.2969970703125,133.22235626121295,15.299332618713379,308000.0
2019-05-17 00:00:00-04:00,45.16257604483204,122.58942081268913,58.791500091552734,94.65249633789062,132.20811812009194,14.797332763671875,305450.0
2019-05-20 00:00:00-04:00,44.33871953728024,120.87921836238796,57.650001525878906,92.6344985961914,132.19827984534055,13.520000457763672,305100.0
2019-05-21 00:00:00-04:00,44.749432513029866,121.74864831297442,57.7239990234375,93.739501953125,132.51338546890094,13.184000015258789,306000.0
2019-05-22 00:00:00-04:00,44.61415484009379,120.97476112184667,57.5625,92.58899688720703,131.77484201495162,13.273332595825195,305234.0
2019-05-23 00:00:00-04:00,43.43995962877702,120.57347980494497,57.30350112915039,91.82949829101562,130.68180878662292,12.956000328063965,303000.0
2019-05-24 00:00:00-04:00,43.53659834660054,121.2518284924659,57.599998474121094,91.79450225830078,131.06584925688,13.321999549865723,304540.0
2019-05-28 00:00:00-04:00,43.227351727443626,121.31868838251211,57.07400131225586,91.63749694824219,131.1741646440883,12.74666690826416,304350.0
2019-05-29 00:00:00-04:00,42.62335032024404,119.79006041271973,56.6349983215332,91.15599822998047,129.94327368284814,12.473333358764648,300100.0
